"menuaccessid","menucode","menuname","description","menuurl","recordstatus"
265,"ar","ar","Account Receivable","ar/index",1
266,"ariar","repinvar","Report Account Receivable","repinvar/index",1
267,"ainvar","invoicear","Invoice Customer","invoicear/index",1
268,"accb","cashbank","Cash & Bank","cashbank/index",1
269,"acrcbin","repcbin","Report Cash Bank Receipt","repcbin/index",1
270,"acrcbo","repcbout","Report Cash Bank Payment","repcbout/index",1
271,"accbin","cbin","Cash Bank Receipt","cashbankin/index",1
272,"accbout","cbout","Cash Bank Payment","cashbankout/index",1
273,"afp","fakturpajak","Customer Tax","/fakturpajak",1
274,"arvir","repvatinput","VAT Input Report","/repvatinput",1
275,"arvout","repvatoutput","VAT Output Report","/repvatoutput",1
276,"acrs","repsundry","Sundry Debtor Report","/repsundry",1
277,"arprp","repreqpay","Request Payment Report","/repreqpay",1
278,"arcb","repcashbank","Cash / Bank List Report","/repcashbank",1
279,"cbdtr","repdaily","Daily Transaction Report","/repdaily",1
280,"cbrs","repsales","Monthly Sales Report","/repsales",1
281,"ppos","repposummary","PO Summary","/repposummary",1
282,"arppnin","reportppnmasuk","Report VAT In","/reportppnmasuk",1
283,"arppnout","reportppnkeluar","Report VAT Out","/reportppnkeluar",1
284,"arprr","reprealpay","Report Payment Realization","/reprealpay",1
